datetime,q55,q64,q66,q69,q120
1/1/2014 1:00,-8,-4.58,-1.45,-9.01,-0.94
1/1/2014 3:00,-7.98,-4.57,-1.45,-9,-0.94
1/1/2014 5:00,-7.95,-4.58,-1.45,-9,-0.94
1/1/2014 7:00,-7.92,-4.59,-1.45,-9.01,-0.94
1/1/2014 9:00,-7.98,-4.59,-1.46,-9,-0.94
1/1/2014 11:00,-7.93,-4.58,-1.46,-9.33,-0.94
1/1/2014 13:00,-7.91,-4.56,-1.46,-9.11,-0.94
1/1/2014 15:00,-7.9,-4.56,-1.45,-9.04,-0.94
1/1/2014 17:00,-7.9,-4.56,-1.45,-9.02,-0.94
1/1/2014 19:00,-7.9,-4.57,-1.46,-8.99,-0.94
1/1/2014 21:00,-7.91,-4.58,-1.46,-9,-0.94
1/1/2014 23:00,-7.93,-4.57,-1.46,-8.99,-0.93
1/2/2014 1:00,-7.91,-4.57,-1.45,-9.02,-0.94
1/2/2014 3:00,-7.89,-4.57,-1.45,-9,-0.94
1/2/2014 5:00,-7.87,-4.57,-1.45,-9.28,-0.94
1/2/2014 7:00,-7.84,-4.57,-1.45,-9.09,-0.92
1/2/2014 9:00,-7.84,-4.58,-1.46,-9.03,-0.94
1/2/2014 11:00,-7.82,-4.57,-1.46,-9,-0.93
1/2/2014 13:00,-7.83,-4.56,-1.46,-8.97,-0.93
1/2/2014 15:00,-7.92,-4.55,-1.46,-8.95,-0.93
1/2/2014 17:00,,-4.56,-1.46,-8.94,-0.92
1/2/2014 19:00,-7.99,-4.57,-1.47,-8.94,-0.92
1/2/2014 21:00,-7.94,-4.58,-1.47,-8.96,-0.92
1/2/2014 23:00,-7.91,-4.58,-1.47,-8.96,-0.93
1/3/2014 1:00,-7.9,-4.57,-1.47,-8.96,-0.94
1/3/2014 3:00,-7.88,-4.57,-1.46,-8.95,-0.93
1/3/2014 5:00,-7.86,-4.58,-1.46,-8.93,-0.93
1/3/2014 7:00,-7.84,-4.59,-1.47,-8.95,-0.93
1/3/2014 9:00,-7.84,-4.6,-1.48,-8.98,-0.94
1/3/2014 11:00,-7.84,-4.59,-1.48,-9,-0.94
1/3/2014 13:00,-7.84,-4.58,-1.48,-9,-0.94
1/3/2014 15:00,-7.84,-4.57,-1.48,-9.01,-0.94
1/3/2014 17:00,-7.92,-4.58,-1.48,-9.01,-0.94
1/3/2014 19:00,-7.89,-4.59,-1.48,-9,-0.94
1/3/2014 21:00,-7.88,-4.59,-1.49,-9.02,-0.94
1/3/2014 23:00,-7.86,-4.59,-1.48,-9.04,-0.94
1/4/2014 1:00,-7.84,-4.59,-1.48,-9.08,-0.94
1/4/2014 3:00,-7.83,-4.59,-1.48,-9.03,-0.95
1/4/2014 5:00,-7.83,-4.6,-1.48,-9.02,-0.94
1/4/2014 7:00,-7.82,-4.6,-1.48,-9.02,-0.95
1/4/2014 9:00,-7.81,-4.61,-1.49,-9.04,-0.95
1/4/2014 11:00,-7.82,-4.6,-1.5,-9.03,-0.95
1/4/2014 13:00,-7.83,-4.58,-1.5,-9.03,-0.95
1/4/2014 15:00,-7.83,-4.58,-1.49,-9.02,-0.95
1/4/2014 17:00,-7.86,-4.58,-1.5,-9.11,-0.95
1/4/2014 19:00,-7.91,-4.59,-1.5,-9.05,-0.95
1/4/2014 21:00,-7.9,-4.59,-1.5,-9.04,-0.95
1/4/2014 23:00,-7.89,-4.59,-1.5,-9.03,-0.95
1/5/2014 1:00,-7.89,-4.58,-1.5,-9.07,-0.95
1/5/2014 3:00,-7.88,-4.58,-1.49,-9.1,-0.95
1/5/2014 5:00,-7.87,-4.58,-1.49,-9.11,-0.95
1/5/2014 7:00,-7.86,-4.59,-1.49,-9.09,-0.95
1/5/2014 9:00,-7.9,-4.6,-1.5,-9.07,-0.95
1/5/2014 11:00,-7.92,-4.59,-1.5,-9.07,-0.95
1/5/2014 13:00,-7.96,-4.57,-1.5,-9.05,-0.95
1/5/2014 15:00,-7.97,-4.56,-1.5,-9.03,-0.95
1/5/2014 17:00,-8.01,-4.57,-1.5,-9.21,-0.94
1/5/2014 19:00,-8.04,-4.58,-1.5,-9.11,-0.95
1/5/2014 21:00,-8.01,-4.58,-1.51,-9.07,-0.95
